number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lambda_smooth,params_lr,params_num_layers,params_time_alignment,params_weight_decay,user_attrs_dropout_effective,state
100,0.555031955242157,2026-06-23 00:11:02.152891,2026-06-23 00:13:09.372050,0 days 00:02:07.219159,32,0.4460435979986799,512,0.25593355518827865,0.00019231979270215225,2,downsample_labels,3.3702805157635577e-06,0.4460435979986799,COMPLETE
101,0.6490009129047394,2026-06-23 00:13:09.392467,2026-06-23 00:13:52.935543,0 days 00:00:43.543076,32,0.4026486741145074,64,0.2754926232265944,0.0002473293162192941,2,downsample_labels,1.6406673392649204e-06,0.4026486741145074,COMPLETE
102,0.6316590905189514,2026-06-23 00:13:52.957504,2026-06-23 00:14:32.519981,0 days 00:00:39.562477,32,0.42981281446607233,64,0.28548651753362303,0.0001764681964988665,2,downsample_labels,1.8673095585111228e-06,0.42981281446607233,COMPLETE
103,0.6539580225944519,2026-06-23 00:14:32.541183,2026-06-23 00:15:21.999386,0 days 00:00:49.458203,32,0.45574272194917886,64,0.22312668617581874,0.0003075782447396154,2,downsample_labels,1.412571686749873e-06,0.45574272194917886,PRUNED
104,0.7379905581474304,2026-06-23 00:15:22.015354,2026-06-23 00:17:07.799775,0 days 00:01:45.784421,32,0.36888914793478056,64,0.2648207660725408,0.00034180296609115314,2,downsample_labels,1.5283347687411735e-05,0.36888914793478056,COMPLETE
105,0.6662688851356506,2026-06-23 00:17:07.820105,2026-06-23 00:18:11.022920,0 days 00:01:03.202815,32,0.49472463888790497,64,0.24866692844065086,0.00022380322303530194,2,upsample_preds,1.2587425998249806e-06,0.49472463888790497,PRUNED
106,0.7308821678161621,2026-06-23 00:18:11.040173,2026-06-23 00:20:08.664341,0 days 00:01:57.624168,32,0.4772661425194067,64,0.26873930632316656,0.00027819174754761865,2,downsample_labels,8.326200516524057e-05,0.4772661425194067,COMPLETE
107,0.6517294645309448,2026-06-23 00:20:08.685732,2026-06-23 00:21:23.502078,0 days 00:01:14.816346,32,0.26471788684412906,256,0.24313023460308952,0.00012572051165692726,2,downsample_labels,3.43717796081202e-06,0.26471788684412906,COMPLETE
108,0.64183509349823,2026-06-23 00:21:23.523463,2026-06-23 00:22:13.239862,0 days 00:00:49.716399,32,0.3263295421991264,64,0.29572672261159905,0.00019883207164977742,2,downsample_labels,6.795392656673354e-05,0.3263295421991264,PRUNED
109,0.7340680658817291,2026-06-23 00:22:13.256319,2026-06-23 00:24:10.022962,0 days 00:01:56.766643,32,0.2837848840623813,64,0.28354772053379607,0.00025469162745733514,2,downsample_labels,2.919687085459846e-05,0.2837848840623813,COMPLETE
